mean-field prediction derived and checkpointed BEFORE measurement:
  chi_1 = f'(1) = 1.000000  -> flat shape, p_l = 1/32 = 0.03125
  flat top-5 share = 0.1562, flat last-3 share = 0.0938
  refinement R_l (secondary, reported not gated), l=0,8,16,24,31: 6.180, 5.820, 5.224, 4.027, 1.000
net 101 layer  0: v_l reps = 1.6063e-02 1.5918e-02 1.6091e-02   1-corr = 1.0040
net 101 layer  1: v_l reps = 1.3758e-02 1.5037e-02 1.2532e-02   1-corr = 0.9023
net 101 layer  2: v_l reps = 1.2612e-02 1.2989e-02 1.0523e-02   1-corr = 0.7532
net 101 layer  3: v_l reps = 1.4098e-02 1.2413e-02 1.3796e-02   1-corr = 0.7057
net 101 layer  4: v_l reps = 1.0246e-02 9.3406e-03 9.9247e-03   1-corr = 0.6249
net 101 layer  5: v_l reps = 1.2907e-02 9.0357e-03 9.7657e-03   1-corr = 0.5518
net 101 layer  6: v_l reps = 8.9474e-03 7.0152e-03 7.3622e-03   1-corr = 0.5329
net 101 layer  7: v_l reps = 5.8979e-03 9.9475e-03 5.8041e-03   1-corr = 0.4242
net 101 layer  8: v_l reps = 6.1422e-03 6.1364e-03 8.8047e-03   1-corr = 0.4423
net 101 layer  9: v_l reps = 6.1856e-03 5.7671e-03 5.7094e-03   1-corr = 0.4072
net 101 layer 10: v_l reps = 4.0715e-03 4.7119e-03 4.3076e-03   1-corr = 0.3121
net 101 layer 11: v_l reps = 4.4166e-03 3.8294e-03 4.6235e-03   1-corr = 0.3037
net 101 layer 12: v_l reps = 3.1245e-03 5.0342e-03 4.5877e-03   1-corr = 0.2990
net 101 layer 13: v_l reps = 2.1484e-03 3.0599e-03 3.0315e-03   1-corr = 0.1785
net 101 layer 14: v_l reps = 3.2793e-03 2.8388e-03 3.1645e-03   1-corr = 0.1982
net 101 layer 15: v_l reps = 2.2237e-03 3.3980e-03 2.1121e-03   1-corr = 0.1592
net 101 layer 16: v_l reps = 2.1374e-03 2.7652e-03 2.9357e-03   1-corr = 0.1566
net 101 layer 17: v_l reps = 2.0081e-03 2.3619e-03 1.2835e-03   1-corr = 0.1083
net 101 layer 18: v_l reps = 2.0371e-03 1.7481e-03 1.0747e-03   1-corr = 0.1033
net 101 layer 19: v_l reps = 1.4409e-03 1.2015e-03 2.8613e-03   1-corr = 0.1074
net 101 layer 20: v_l reps = 9.5998e-04 1.5762e-03 2.0916e-03   1-corr = 0.0952
net 101 layer 21: v_l reps = 1.4936e-03 1.2468e-03 1.5761e-03   1-corr = 0.0914
net 101 layer 22: v_l reps = 8.1316e-04 9.2924e-04 1.2009e-03   1-corr = 0.0508
net 101 layer 23: v_l reps = 1.0404e-03 1.8804e-03 1.1517e-03   1-corr = 0.0644
net 101 layer 24: v_l reps = 1.2469e-03 7.7670e-04 1.1314e-03   1-corr = 0.0512
net 101 layer 25: v_l reps = 1.3836e-03 7.2874e-04 4.6041e-04   1-corr = 0.0340
net 101 layer 26: v_l reps = 4.5921e-04 9.6195e-04 5.4946e-04   1-corr = 0.0315
net 101 layer 27: v_l reps = 4.5915e-04 1.8645e-04 2.8987e-04   1-corr = 0.0150
net 101 layer 28: v_l reps = 7.2910e-04 6.1398e-04 5.4523e-04   1-corr = 0.0244
net 101 layer 29: v_l reps = 4.3072e-04 8.0382e-04 2.1192e-04   1-corr = 0.0156
net 101 layer 30: v_l reps = 1.2557e-04 3.2623e-04 1.6120e-04   1-corr = 0.0111
net 101 layer 31: v_l reps = 9.6081e-05 2.0493e-04 1.2610e-04   1-corr = 0.0062
net 101: var(r)=8.1159e-03  dev-vs-flat max=31.28  dev-vs-refinement max=9.46  top5=[0, 1, 3, 2, 5] share=0.462  last3 share=0.006  (33.7s)
net 202 layer  0: v_l reps = 3.1151e-02 3.1914e-02 3.0665e-02   1-corr = 0.9910
net 202 layer  1: v_l reps = 2.5757e-02 2.7815e-02 3.0353e-02   1-corr = 0.8977
net 202 layer  2: v_l reps = 2.5540e-02 2.2898e-02 2.6333e-02   1-corr = 0.7572
